Numero,DataOcorrencia,DataFechoOperacional,Natureza,EstadoOcorrencia,Distrito,Concelho,Freguesia,Localidade,Latitude,Longitude,NumeroMeiosTerrestresEnvolvidos,NumeroOperacionaisTerrestresEnvolvidos,NumeroMeiosAereosEnvolvidos,NumeroOperacionaisAereosEnvolvidos,
2018130011520,20/01/2018 14:10:00,20/01/2018 15:10:00,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Limpeza de Via e Sinalização de Perigo,Encerrada,PORTO,VILA NOVA DE GAIA,Pedroso e Seixezelo,PEDROSO,"41,06333","-8,55785",1,2,0,0,
2018160002285,20/01/2018 05:03:00,20/01/2018 05:32:00,Protecção e Assistência a Pessoas e Bens / Intervenção em conflitos legais / Agressão/Violação,Encerrada,VIANA DO CASTELO,VIANA DO CASTELO,Santa Maria Maior e Monserrate e Meadela,Rua de Caminha,"41,703882","-8,81652",1,2,0,0,
2018160002435,21/01/2018 17:34:00,21/01/2018 18:30:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,VIANA DO CASTELO,MONÇÃO,Mazedo e Cortes,AVENIDA DA BOAVISTA - MAZEDO,"42,06145626","-8,498752117",1,4,0,0,
2018110014917,21/01/2018 10:34:00,21/01/2018 11:12:00,Riscos Tecnológicos / Incêndios Urbanos ou em Área Urbanizável / Habitacional,Encerrada,LISBOA,CASCAIS,Carcavelos e Parede,Junqueiro,"38,683988","-9,342724",3,10,0,0,
2018140004439,22/01/2018 19:10:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Despacho de 1º Alerta,SANTARÉM,CORUCHE,"Coruche, Fajarda e Erra",Fajarda,"38,9719535371777","-8,60273686425191",1,2,0,0,
2018030006319,22/01/2018 00:35:00,22/01/2018 01:30:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,BRAGA,GUIMARÃES,Caldelas,CALDELAS,"41,49157492","-8,344354483",1,2,0,0,
2018110016547,23/01/2018 15:12:00,23/01/2018 16:11:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,LISBOA,ODIVELAS,Odivelas,ODIVELAS,"38,7934252116658","-9,18281289015313",1,2,0,0,
2018180004423,23/01/2018 08:32:00,23/01/2018 12:28:00,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Prevenção a actividades de lazer,Encerrada,VISEU,MANGUALDE,Freixiosa,Freixiosa,"40,6107195562613","-7,67731121755571",1,2,0,0,
2018110017371,24/01/2018 17:10:00,24/01/2018 18:26:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,LISBOA,LOURES,Bucelas,BUCELAS,"38,9038574872689","-9,12103783783468",1,2,0,0,
2018080003244,24/01/2018 01:41:00,24/01/2018 04:33:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,FARO,LOULÉ,Alte,Cumeada,"37,2602554525858","-8,21423199732024",1,2,0,0,
2018180004928,25/01/2018 15:18:00,25/01/2018 16:45:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,VISEU,OLIVEIRA DE FRADES,Destriz e Reigoso,DESTRIZ E REIGOSO,"40,67137419","-8,276166369",1,2,0,0,
2018030007696,26/01/2018 22:23:00,26/01/2018 23:30:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,BRAGA,PÓVOA DE LANHOSO,Calvos e Frades,Frades,"41,60433673533","-8,24693252538689",1,2,0,0,
2018110018811,26/01/2018 15:52:00,26/01/2018 16:38:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,LISBOA,SINTRA,Agualva e Mira-Sintra,Agualva-Cacém,"38,7689975863337","-9,28945686281544",1,2,0,0,
2018030007976,27/01/2018 22:30:00,,Riscos Mistos / Incêndios em Detritos / Detritos confinados,Conclusão,BRAGA,BRAGA,Braga (São José de São Lázaro e São João do Souto),BRAGA,"41,537143","-8,417535",1,6,0,0,
2018140005386,27/01/2018 15:29:00,27/01/2018 15:50:00,Riscos Tecnológicos / Incêndios em Equipamento e Produtos / Produtos,Encerrada,SANTARÉM,RIO MAIOR,Rio Maior,RIO MAIOR,"39,332748","-8,931277",3,9,0,0,
2018040002680,27/01/2018 09:35:00,27/01/2018 12:10:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,BRAGANÇA,VILA FLOR,Benlhevai,BENLHEVAI,"41,3805294016902","-7,09115554909356",1,2,0,0,
2018130016219,28/01/2018 18:30:00,28/01/2018 20:45:00,Protecção e Assistência a Pessoas e Bens / Intervenção em conflitos legais / Remoção e/ou Transporte de cadáver,Encerrada,PORTO,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,São Mamede Infesta,"41,188957","-8,630369",1,2,0,0,
2018010008070,28/01/2018 12:29:00,28/01/2018 14:10:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,AVEIRO,OLIVEIRA DE AZEMÉIS,São Roque,São Roque - Costa Má,"40,8708698444654","-8,46750933371539",1,2,0,0,
2018110021179,29/01/2018 22:31:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Despacho,LISBOA,AMADORA,Águas Livres,Damaia,"38,7480881970284","-9,21550463095348",0,0,0,0,
2018180005504,29/01/2018 01:41:00,29/01/2018 04:12:00,Riscos Tecnológicos / Acidentes / Colisão rodoviária,Encerrada,VISEU,MANGUALDE,Fornos de Maceira Dão,A 25 -FAGILDE,"40,613516","-7,815783",1,1,0,0,
2018170002561,30/01/2018 16:30:00,30/01/2018 20:00:00,Riscos Tecnológicos / Acidentes / Atropelamento rodoviário,Encerrada,VILA REAL,VALPAÇOS,Vales,VALES,"41,474718","-7,345398",2,6,0,0,
2018070002448,30/01/2018 06:54:00,30/01/2018 17:30:00,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Prevenção a actividades de lazer,Encerrada,ÉVORA,VENDAS NOVAS,Vendas Novas,Vendas NOVAS,"38,679307","-8,477166",7,17,0,0,
2018080004340,31/01/2018 17:31:00,31/01/2018 18:08:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,FARO,ALBUFEIRA,Albufeira e Olhos de Água,ALBUFEIRA,"37,0917268180514","-8,25229226389378",1,2,0,0,
2018030008835,31/01/2018 07:59:00,31/01/2018 18:00:00,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Limpeza de Via e Sinalização de Perigo,Encerrada,BRAGA,BARCELOS,Areias,AREIAS,"41,5576463","-8,540589803",1,2,0,0,
2018110023193,01/02/2018 17:34:00,01/02/2018 19:54:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,LISBOA,LISBOA,Alcântara,ALCÂNTARA,"38,70959361","-9,183389907",1,2,0,0,
